Week,Food Price Crisis[2008],Covid-19 [2020],Ukraine Crisis [2022]
1,6.848191683,0,5.024593041
2,6.848191683,0,5.023315358
3,6.848191683,0,5.023315358
4,3.764983619,0,5.131173409
5,3.764983619,0,5.575779102
6,5.82034055,0,5.575779102
7,5.923461284,0,5.575779102
8,5.923461284,0,5.575779102
9,6.879254181,0,6.225329447
10,6.892646216,0,10.92839221
11,6.892646216,0,15.94352339
12,6.896818933,0.136248378,15.96393324
13,6.896818933,0.480385647,16.01239299
14,17.15796678,4.458761264,16.01239299
15,17.15796678,6.467550876,17.03416625
16,10.71948613,7.031311219,NA
17,10.71948613,7.023811098,NA
18,10.74999,7.756385887,NA
19,10.75584929,7.746959917,NA
20,11.86449501,7.413761611,NA
21,11.86374264,6.639120205,NA
22,11.86374264,6.59141383,NA
23,11.86447701,6.59141383,NA
24,11.86469367,4.576279834,NA
25,11.86469367,4.358739917,NA
26,11.66620865,4.358739917,NA
27,11.67861849,4.358739917,NA
28,11.77995141,0.315288703,NA
29,11.77995141,0.315288703,NA
30,11.77995141,0.314515583,NA
31,11.77995141,0.314515583,NA
32,11.98410903,0.314515583,NA
33,11.98410903,0.314515583,NA
34,11.98410903,0.314515583,NA
35,11.98410903,0.314515583,NA
36,11.91959606,0.275837628,NA
37,11.91959606,0.260165165,NA
38,11.91924483,0.260165165,NA
39,11.91924483,0.260165165,NA
40,11.91924483,0.258736976,NA
41,11.92138344,0.122488598,NA
42,11.82077483,0.122488598,NA
43,11.32676391,0.122488598,NA
44,11.32676391,0.122488598,NA
45,11.32860155,0.122488598,NA
46,11.32860155,0.122488598,NA
47,11.3161917,0.122488598,NA
48,11.31619053,0.122488598,NA
49,11.31619053,0.122488598,NA
50,11.31619053,0.122488598,NA
51,11.31619053,0.122488598,NA
